sample,field,tillage,irrigation,year,total.fame,actinomycete.67,actinomycete.83,actinomycete.85,actinomycete.99,actinomycete.105,actinomycete.119,g.minus.78,g.minus.100,g.minus.116,g.minus.117,g.plus.21,g.plus.22,g.plus.35,g.plus.37,g.plus.52,g.plus.53,g.plus.72,g.plus.73,g.plus.109,g.plus.111,amf.58,sap.fungi.87,sap.fungi.88,sap.fungi.89,sap.fungi.90,sap.fungi.91,sap.fungi.92,sap.fungi.93,sap.fungi.94,sap.fungi.95,euk.protozoa,BactSum,FungSum,FBRatio,GPosSum,GNegSum,ActSum
RN 5,RN1,no,no,2017,,11.289,2.128,1.445,0.846,1.971,0,2.327,0.158,0,5.35,1.148,0.074,10.191,5.477,4.733,0.486,3.236,3.112,1.469399632,0.209,7.526,0.415,0.823,0.236,7.147,15.697,0,14.71,0,3.385,1.609,55.64939963,49.939,0.897386141,30.13539963,7.835,17.679
RN 6,RN1,no,no,2017,,9.266,1.618,1.403,0.771,1.804,0,2.114,0.126,0,4.641,1.134,0.085,9.609,5.464,4.788,0.495,2.97,3.015,1.462187558,0.228,7.719,0.63,0.725,0.248,8.037,17.777,0,16.41,0,3.731,1.718,50.99318756,55.277,1.084007544,29.25018756,6.881,14.862
RN 1,RN1,no,yes,2017,,10.297,2.01,1.667,0.965,2.194,0,2.301,0.254,0,5.561,1.253,0.082,10.852,5.957,5.322,0.486,3.522,3.517,1.679330857,0.22,7.102,0.507,0.823,0.314,8.476,17.572,0,16.435,0,4.091,1.638,58.13933086,55.32,0.951507339,32.89033086,8.116,17.133
RN 2,RN1,no,yes,2017,,10.751,2.436,1.803,1.078,2.527,0,2.583,0.184,0,5.642,1.457,0.079,11.454,6.577,6.342,0.448,3.881,3.987,2.180271634,0.386,9.865,0.825,0.863,0.234,14.738,24.025,0,22.346,0,4.011,2.421,63.79527163,76.907,1.205528216,36.79127163,8.409,18.595
RN 3,RN1,no,yes,2017,,9.63,2.019,1.922,0.952,2.355,0,2.135,0.226,0,5.574,1.095,0.062,9.768,5.703,5.394,0.462,3.233,3.413,1.576513443,0.403,11.551,0.552,0.738,0.236,13.431,20.578,0,16.466,0,3.834,1.707,55.92251344,67.386,1.204988758,31.10951344,7.935,16.878
RN 4,RN1,no,yes,2017,,7.344,1.886,0.819,0.546,1.448,0,1.42,0.14,0,4.307,0.683,0,6.164,3.354,2.941,0.242,2.212,2.028,0.973819736,0.248,5.25,0.364,0.431,0.15,5.878,10.075,0,9.118,0,2.74,1.001,36.75581974,34.006,0.925186821,18.84581974,5.867,12.043
RN 5,RN1,no,no,2017,,13.093,2.047,2.105,1.532,3.173,0,3.48,0.313,0,7.885,1.925,0.097,14.9,8.646,7.648,0.601,4.975,4.815,2.673124956,0.335,9.633,0,2.12,0.302,16.613,33.009,0,31.223,0,4.528,2.538,80.24312496,97.428,1.214160092,46.61512496,11.678,21.95
RN 6,RN1,no,no,2017,,12.223,1.623,1.832,1.541,2.709,0,3.26,0.371,0,7.752,1.707,0.132,14.583,7.601,6.653,0.575,4.442,4.299,2.417585064,0.378,14.244,0.706,1.192,0.287,19.573,40.742,0,26.287,0,5.454,14.521,74.09858506,108.485,1.464063044,42.78758506,11.383,19.928
RN 1,RN1,no,yes,2017,,10.562,1.876,1.931,1.049,2.362,0,2.506,0.344,0,5.482,1.377,0.073,10.852,6.255,5.84,0.47,3.533,3.675,1.772073731,0.442,10.464,0,1.345,0.345,8.62,19.297,0,17.056,0,4.234,2.044,60.40107373,61.361,1.015892537,34.28907373,8.332,17.78
RN 2,RN1,no,yes,2017,,8.537,2.097,1.32,0.768,2.016,0,1.981,0.177,0,5.08,0.965,0,7.783,4.506,4.317,0.424,2.797,2.818,1.278872163,0.495,10.086,0.672,0.771,0.167,7.003,14.818,0,13.327,0,2.282,1.934,47.35987216,49.126,1.037291651,25.38387216,7.238,14.738
RN 3,RN1,no,yes,2017,,8.83,2.12,1.563,0.77,1.981,0,1.856,0.147,0,4.675,0.92,0,7.805,4.523,3.995,0.346,2.568,2.768,1.347277167,0.441,10.886,0.454,0.735,0.136,8.436,16.36,0,13.908,0,2.595,1.486,46.65527717,53.51,1.146922776,24.71327717,6.678,15.264
RN 4,RN1,no,yes,2017,,10.438,2.35,1.444,0.786,2.185,0,2.128,0.214,0,5.275,1.021,0,8.543,4.839,4.382,0.371,2.98,2.891,1.477141485,0.409,10.643,0.523,0.875,0.203,6.264,15.318,0,12.804,0,2.83,1.78,51.73314148,49.46,0.956060246,26.91314148,7.617,17.203
RN 5,RN1,no,no,2017,,6.35,1.339,0.807,0.47,1.562,0,1.362,0.077,0,3.159,0.702,0.038,5.698,3.183,2.735,0.242,1.836,1.905,0.877938296,0.138,5.322,0,0.87,0.134,3.922,9.901,0,8.022,0,1.466,1.063,32.4809383,29.637,0.912442853,17.3549383,4.598,10.528
RN 6,RN1,no,no,2017,,6.391,1.612,0.701,0.45,1.493,0,1.319,0.082,0,3.071,0.562,0.051,5.513,2.996,2.701,0.218,1.74,1.734,0.780022841,0.129,5.729,0,0.785,0.08,4.522,9.402,0,7.932,0,1.604,3.39,31.54302284,30.054,0.952793908,16.42402284,4.472,10.647
TG 1,TG1,yes,no,2017,,5.278,1.8,0.825,0.443,2.142,0,1.214,0.207,0,3.74,0.457,0,4.66,2.684,2.674,0.183,1.801,1.805,0.760317823,1.821,5.2,0.365,0.419,0,7.484,12.81,0,7.618,0,1.171,0.943,32.49431782,35.067,1.079173294,16.84531782,5.161,10.488
TG 2,TG1,yes,no,2017,,9.15,1.858,1.491,0.974,2.248,0,2.391,0.378,0,6.06,0.935,0,9.277,5.326,4.851,0.453,3.383,3.505,1.628284485,0.5,9.323,0.668,0.743,0.324,11.536,21.131,0,20.531,0,2.696,2.3,54.40828448,66.952,1.230547896,29.85828448,8.829,15.721
TG 3,TG1,yes,yes,2017,,7.438,1.113,1.194,0.913,1.672,0,2.008,0.305,0,4.858,0.869,0.156,8.41,4.388,3.955,0.539,2.767,2.799,1.568111225,0.302,7.397,0.826,0.69,0.353,12.661,19.178,0,20.344,0,2.575,1.799,45.25411122,64.024,1.414766488,25.75311122,7.171,12.33
TG 4,TG1,yes,yes,2017,,9.427,1.396,1.279,1.008,1.999,0,2.406,0.425,0,5.612,0.971,0,9.877,5.439,4.434,0.4,3.271,3.314,1.615598627,0.621,14.006,1.104,0.641,0.594,12.742,22.691,0,23.251,0,2.936,2.186,53.49459863,77.965,1.457436863,29.94259863,8.443,15.109
RN 1,RN1,no,yes,2017,,14.16,2.207,1.989,1.501,3.391,0,3.211,0.439,0,7.962,1.766,0.076,14.046,8.281,7.901,0.617,4.671,5.157,2.543408433,0.378,13.878,0,1.821,0.487,9.287,22.6,0,27.01,0,5.493,3.245,80.29640843,80.576,1.003481993,45.43640843,11.612,23.248
RN 2,RN1,no,yes,2017,,8.38,1.553,1.1,0.806,1.611,0,2.09,0.11,0,4.313,1.097,0.052,8.174,4.736,4.233,0.375,2.648,2.633,1.267049256,0.153,11.056,0.42,0.736,0.215,6.535,13.831,0,14.001,0,2.719,1.689,45.33104926,49.513,1.092253562,25.36804926,6.513,13.45
RN 3,RN1,no,yes,2017,,12.339,2.073,1.849,1.399,2.604,0,3.114,0.182,0,7.04,1.771,0.105,12.816,7.73,6.568,0.594,4.048,4.197,2.080159834,0.268,19.53,0,1.59,0,26.084,26.239,0,23.957,0,5.103,2.48,70.77715983,102.503,1.448249693,40.17715983,10.336,20.264
