sample,texture,pHw,pHb,P,K,Mg,Ca,S1,B1,Zn1,Mn1,Fe1,Cu1,CEC,K2,Mg2,Ca2,H,OM,no3.ppm,nh4.ppm,
MH 62,sandy loam,7.5,7.8,158,1123,698,3178,17,1.37,2.23,207,90,2.92,13.89,10.36,20.93,57.18,11.51,0.6,6.25,0.91,
MH 63,sandy loam,7.5,7.8,151,1074,764,3339,19,1.43,4.92,202,93,2.97,14.5,9.49,21.94,57.53,11.02,0.57,1.05,1.44,
MH 64,sandy loam,7.7,7.8,121,932,665,2760,22,1.29,1.72,181,90,2.63,12.46,9.58,22.22,55.35,12.83,0.53,3.91,0.86,
MH 65,sandy loam,7.3,7.85,72,836,404,2009,17,1.03,2.21,105,88,1.99,8.97,11.93,18.75,55.94,13.36,0.41,6.79,0.84,
MH 66,sandy loam,7.1,7.85,93,939,479,2061,21,1.17,2.6,112,93,2.13,9.55,12.6,20.89,53.94,12.56,0.44,14.01,0.78,
MH 67,sandy loam,7.5,7.8,113,981,535,2590,21,1.5,2.88,123,97,2.1,11.56,10.87,19.28,56,13.83,0.55,14.12,0.78,
MH 68,sandy loam,7.4,7.85,101,1013,521,2704,20,1.31,2.55,128,88,2.15,11.42,11.36,18.99,59.14,10.49,0.48,7.64,0.79,
MH 69,loamy sand,7.2,7.85,31,905,380,2275,15,0.76,1.8,158,96,2.26,9.63,12.04,16.43,59.05,12.45,0.43,1.81,0.76,
MH 70,loamy sand,7.5,7.85,35,931,400,2195,13,0.93,1.6,156,96,2.16,9.54,12.5,17.45,57.47,12.56,0.57,2.69,0.88,
MH 71,loamy sand,7.2,7.8,38,880,358,2025,16,0.85,1.5,144,99,2.06,9.28,12.15,16.06,54.53,17.23,0.45,6.26,0.79,
MH 72,loamy sand,7.8,7.9,95,764,333,1815,16,0.94,1.79,115,93,1.79,7.7,12.71,18,58.89,10.38,0.26,7.72,1.97,
CK 85,clay loam,7.7,7.75,292,1427,2059,5410,29,3.73,19.14,316,84,5.39,25.93,7.05,33.08,52.15,7.71,1.96,12.98,2.22,
CK 86,clay loam,7.7,7.8,75,1033,1909,5240,28,3.09,7.39,303,81,5.3,23.97,5.52,33.17,54.63,6.67,1.47,8.76,2.94,
CK 87,clay loam,7.8,7.7,240,1453,2003,5313,34,3.79,16.33,315,84,5.46,25.89,7.19,32.23,51.3,9.26,2.21,12.28,2.92,
CK 88,clay loam,7.6,7.65,102,1470,2303,5794,28,3.61,11.21,356,89,6,28.76,6.55,33.35,50.35,9.73,1.72,13.71,2.55,
CK 89,clay loam,7.8,7.65,231,1691,1744,5884,29,3.59,15.51,408,83,6.82,26.94,8.04,26.96,54.59,10.39,2.17,5.83,2.49,
CK 90,clay loam,8,7.8,636,2106,2021,8735,43,4.22,35.88,347,102,7.13,34.55,7.81,24.36,63.19,4.62,2.92,16.64,1.67,
CK 91,clay loam,7.8,7.75,281,1650,1769,5812,28,3.91,20.2,379,87,6.76,26.01,8.13,28.33,55.84,7.68,2.52,18.51,2.32,
CK 92,clay loam,7.2,7.7,125,1222,1486,4753,28,2.25,9.07,401,87,5.53,22.04,7.1,28.09,53.91,10.88,1.74,5.81,1.59,
